,base,quote,exchange,base_t,quote_t,exchange_t,BUY,SELL,id,s_time,s_time_book,bid,bid_qty,ask,ask_qty,bid_t,bid_qty_t,ask_t,ask_qty_t
1,SOL,USDT,FTX,,,,203.69964649999997,203.33042849999998,52,2021-12-04 00:53:43.284,2021-12-04 00:53:45.879,202.8225,8.32,202.955,3.8,0.0,0.0,0.0,0.0
2,SOL,USDT,FTX,,,,203.12430149999997,202.708302,53,2021-12-04 00:54:58.264,2021-12-04 00:55:00.114,203.3325,8.32,203.4,0.06,0.0,0.0,0.0,0.0
3,SOL,USDT,Binance,,,,203.55271911621094,203.1273651123047,53,2021-12-04 00:54:58.264,2021-12-04 00:55:00.114,203.40000000,46.49000000,203.43000000,0.25000000,0.0,0.0,0.0,0.0
4,SOL,USDT,FTX,,,,203.6346075,203.307942,54,2021-12-04 00:55:11.142,2021-12-04 00:55:12.778,203.975,13.62,203.9775,0.03,0.0,0.0,0.0,0.0
5,SOL,USDT,Binance,,,,204.21324157714844,203.82681274414062,54,2021-12-04 00:55:11.142,2021-12-04 00:55:12.778,204.09000000,1.00000000,204.12000000,3.81000000,0.0,0.0,0.0,0.0
6,SOL,USDT,FTX,,,,204.45760099999998,203.917576,55,2021-12-04 00:55:36.478,2021-12-04 00:55:38.606,204.5875,22.93,204.7375,20.59,0.0,0.0,0.0,0.0
7,SOL,USDT,Binance,,,,204.94383239746094,204.5562286376953,55,2021-12-04 00:55:36.478,2021-12-04 00:55:38.606,204.71000000,5.00000000,204.72000000,1.86000000,0.0,0.0,0.0,0.0
8,SOL,USDT,FTX,,,,204.72025849999997,204.0849755,56,2021-12-04 00:56:13.724,2021-12-04 00:56:17.890,204.715,0.57,204.815,3.8,0.0,0.0,0.0,0.0
9,SOL,USDT,Binance,,,,205.28408813476562,204.93592834472656,56,2021-12-04 00:56:13.724,2021-12-04 00:56:17.890,204.82000000,5.83000000,204.85000000,2.00000000,0.0,0.0,0.0,0.0
10,SOL,USDT,FTX,,,,205.0804745,204.7046035,57,2021-12-04 00:56:40.602,2021-12-04 00:56:42.509,205.0925,20.0,205.215,0.19,0.0,0.0,0.0,0.0
11,SOL,USDT,Binance,,,,205.4742431640625,205.1057891845703,57,2021-12-04 00:56:40.602,2021-12-04 00:56:42.509,205.26000000,1.56000000,205.27000000,0.99000000,0.0,0.0,0.0,0.0
12,SOL,USDT,Binance,,,,204.48345947265625,204.14654541015625,58,2021-12-04 00:57:43.799,2021-12-04 00:57:45.853,204.40000000,12.53000000,204.41000000,2.80000000,0.0,0.0,0.0,0.0
13,SOL,USDT,FTX,,,,205.02043849999998,204.6596305,58,2021-12-04 00:57:43.799,2021-12-04 00:57:45.853,204.2925,3.8,204.43,22.0,0.0,0.0,0.0,0.0
14,SOL,USDT,FTX,,,,203.45950249999999,203.04060249999998,59,2021-12-04 00:59:10.313,2021-12-04 00:59:12.849,203.7675,3.8,203.8625,0.07,0.0,0.0,0.0,0.0
15,SOL,USDT,Binance,,,,203.8629608154297,203.46710205078125,59,2021-12-04 00:59:10.313,2021-12-04 00:59:12.849,203.91000000,15.88000000,203.97000000,11.65000000,0.0,0.0,0.0,0.0
16,SOL,USDT,Kucoin,,,,202.3842010498047,201.90289306640625,60,2021-12-04 01:01:01.698,2021-12-04 01:01:03.459,202.188,0.4213,202.302,4.84,0.0,0.0,0.0,0.0
17,SOL,BTC,FTX,BTC,USDT,FTX,203.02342001400393,202.40595433136167,60,2021-12-04 01:01:01.698,2021-12-04 01:01:03.459,0.00382225,2.1,0.00382625,38.95,52923.0,0.0105,52945.0,1.0358
18,SOL,USDT,Binance,,,,201.7712860107422,201.438720703125,61,2021-12-04 01:01:27.646,2021-12-04 01:01:29.490,201.50000000,27.90000000,201.58000000,4.05000000,0.0,0.0,0.0,0.0
19,SOL,BTC,FTX,BTC,USDT,FTX,202.43942459971763,201.7745324700768,61,2021-12-04 01:01:27.646,2021-12-04 01:01:29.490,0.0038135,0.4,0.003816,6.99,52842.0,0.05,52851.0,0.2049
20,SOL,USDT,FTX,,,,201.97861449999996,201.73388699999998,62,2021-12-04 01:02:05.186,2021-12-04 01:02:06.949,202.27,10.0,202.2725,0.04,0.0,0.0,0.0,0.0
21,SOL,USDT,Binance,,,,202.43182373046875,202.07821655273438,62,2021-12-04 01:02:05.186,2021-12-04 01:02:06.949,202.35000000,36.02000000,202.43000000,2.26000000,0.0,0.0,0.0,0.0
22,SOL,BTC,FTX,BTC,USDT,FTX,202.5177327349748,201.96239757888947,63,2021-12-04 01:02:17.956,2021-12-04 01:02:20.571,0.0038315,2.1,0.00383425,2.1,52966.0,0.205,52983.0,0.0359
23,SOL,USDT,Binance,,,,203.35255432128906,203.01744079589844,63,2021-12-04 01:02:17.956,2021-12-04 01:02:20.571,203.07000000,0.58000000,203.08000000,13.04000000,0.0,0.0,0.0,0.0
24,SOL,USDT,FTX,,,,203.25187799999998,202.79325099999997,64,2021-12-04 01:02:45.391,2021-12-04 01:02:47.126,203.355,48.0,203.4675,0.36,0.0,0.0,0.0,0.0
25,SOL,USDT,Binance,,,,203.60275268554688,203.26724243164062,64,2021-12-04 01:02:45.391,2021-12-04 01:02:47.126,203.55000000,3.11000000,203.58000000,3.64000000,0.0,0.0,0.0,0.0
26,SOL,USDT,FTX,,,,203.52204,203.247978,65,2021-12-04 01:03:22.126,2021-12-04 01:03:24.066,203.8425,28.66,203.8925,10.51,0.0,0.0,0.0,0.0
27,SOL,USDT,Binance,,,,204.1431884765625,203.7968292236328,65,2021-12-04 01:03:22.126,2021-12-04 01:03:24.066,203.91000000,0.49000000,203.92000000,12.66000000,0.0,0.0,0.0,0.0
28,SOL,USDT,FTX,,,,204.0548595,203.7102005,66,2021-12-04 01:03:46.752,2021-12-04 01:03:48.920,204.395,8.32,204.4375,7.49,0.0,0.0,0.0,0.0
29,SOL,USDT,Binance,,,,204.70362854003906,204.3663787841797,66,2021-12-04 01:03:46.752,2021-12-04 01:03:48.920,204.60000000,11.65000000,204.61000000,1.85000000,0.0,0.0,0.0,0.0
30,SOL,USDT,FTX,,,,204.6151955,204.3248315,67,2021-12-04 01:03:59.996,2021-12-04 01:04:02.178,204.535,11.68,204.6925,3.8,0.0,0.0,0.0,0.0
